src_id,src_community,dest_id,dest_community
1000845,3,1362039,15
1000868,3,1301429,0
1000868,3,1343433,28
1000868,3,3760642,3
10011451,3,10188894,3
1001263,20,1301429,0
1001263,20,1362039,15
1001263,20,1389736,20
1001263,20,1587355,20
1001295,15,1362039,15
1001295,15,8032199,15
1001311,4,1362039,15
1001325,20,1362039,15
1001325,20,1389736,20
1001325,20,1587355,20
100200,3,141038,22
100200,3,188295,0
100200,3,502088,3
100200,3,533244,1
100243,0,1301429,0
100243,0,1343015,0
100243,0,1343285,0
100243,0,1346282,0
100243,0,1346689,0
100243,0,141713,22
100243,0,188295,0
100243,0,502088,3
100243,0,533244,1
10029007,15,10184281,15
10029045,15,10184281,15
1003822,4,1362039,15
100388,0,1230217,0
100388,0,1301429,0
100388,0,1342892,0
100388,0,1343035,0
100388,0,1347806,0
100388,0,141094,22
100388,0,141335,22
100388,0,175970,3
100388,0,189853,0
100388,0,533244,1
100388,0,731823,0
100388,0,758575,0
100427,4,1301429,0
100427,4,1362039,15
100427,4,1386401,4
100427,4,1389736,20
100427,4,141066,22
100427,4,1587355,20
100427,4,187455,20
100427,4,188295,0
100427,4,445417,4
100427,4,553375,0
100427,4,670309,20
100427,4,731823,0
100427,4,758575,0
100427,4,802610,4
100427,4,849972,4
100427,4,884788,4
10048190,3,10199288,3
10051524,15,10147491,15
10057655,27,10364362,27
100658,20,10219146,20
100658,20,1301429,0
100658,20,1362039,15
100658,20,1389736,20
100658,20,141713,22
100658,20,1587236,20
100658,20,1587355,20
100658,20,187455,20
100658,20,2120428,4
100658,20,2120560,4
100658,20,2247588,1
100658,20,2247592,1
100658,20,2247599,1
100658,20,533244,1
100658,20,670309,20
100658,20,731823,0
100658,20,758575,0
100665,0,188295,0
100665,0,553375,0
100665,0,731823,0
100665,0,758575,0
100665,0,839679,0
10077190,15,10177983,15
10078062,15,10177983,15
10078259,33,10184254,33
10087457,3,10220261,3
1009818,4,1301429,0
1009897,0,1301429,0
1009897,0,2156307,0
1009897,0,2156404,0
10105154,3,10184722,3
10105232,0,10184722,3
10106092,3,10184823,3
10106168,3,10184823,3
10107099,15,10184281,15
10107192,15,10184281,15
101172,0,1301429,0
101172,0,188295,0
101172,0,189853,0
101172,0,731823,0
101172,0,758575,0
10125114,15,10225025,15
10125878,3,10241084,3
10128034,0,10222579,0
10147483,15,10376451,15
10152066,3,10196088,3
1015550,20,1348948,0
1015550,20,1389736,20
1015550,20,1587355,20
1015550,20,1896327,4
1015550,20,1928227,4
1016783,4,1362039,15
1016783,4,1386401,4
1017314,0,1301429,0
1017314,0,1343015,0
10179731,15,10408454,15
10179842,15,10206349,15
10179842,15,10281456,15
10179842,15,10397023,14
10179842,15,10412240,15
10179842,15,10611226,15
10182412,3,10352505,3
10184254,33,10559620,33
10184722,3,10224628,3
10184759,3,10224628,3
10184823,3,10224628,3
10208225,15,10593544,15
10208225,15,10638894,15
102147,22,1343433,28
102147,22,141512,22
102147,22,141745,22
102147,22,141831,22
102161,0,142987,0
102161,0,1932376,0
102161,0,246039,0
102161,0,284248,0
102161,0,553375,0
102187,3,10491416,3
102187,3,175970,3
102187,3,4843975,3
102187,3,731823,0
102187,3,8166652,22
102263,0,188295,0
102263,0,731823,0
102263,0,758575,0
102263,0,839679,0
102420,22,1362039,15
102420,22,141339,22
102420,22,141731,22
102420,22,141810,22
102420,22,2120428,4
102420,22,220049,1
10290,0,1413175,0
10290,0,28645,0
10290,0,82876,0
1029372,20,1389736,20
1029372,20,1587355,20
1029372,20,2178192,4
102969,1,1362039,15
102969,1,220049,1
102969,1,2258146,14
102969,1,502088,3
10306888,15,10324516,15
10306888,15,10324602,15
10306888,15,10328889,15
10306888,15,10329235,15
10306888,15,10329372,15
10306888,15,10374048,15
10306888,15,10374661,15
10306888,15,10375510,15
10306888,15,10376698,15
10306888,15,10443869,15
10306888,15,10468712,15
10306888,15,10520359,15
10306888,15,10525081,15
10306888,15,10528620,15
10306888,15,10534039,15
10307617,0,10367334,0
1040426,0,1343015,0
1040426,0,3750541,0
1041312,4,1155305,15
1041312,4,1202999,14
1041312,4,1362039,15
1041312,4,1888700,1
1041312,4,3778580,4
1041312,4,3778588,14
1041321,3,10184722,3
1041321,3,10184789,3
1041321,3,1343441,0
1041598,20,1301429,0
