src_page,dest_page
4020608,4070083
53611,553375
53611,1192028
3770439,5434510
3603659,4087523
2888884,5105363
2805495,3169457
2805495,3169344
2734018,2917246
3651313,4084927
3270100,5179124
2882928,5313322
2882928,3095863
3270101,5179124
3085451,5313322
2918672,4276495
2876977,4313139
2876977,4087523
2882934,5313322
2882934,3095713
53619,74944
53619,1192028
3085455,5313322
3603668,4087523
1393824,3468006
1393824,1824109
53622,1301429
53622,554049
53622,553375
53622,189853
53622,176956
53622,1192028
2871025,3169360
2942507,5174557
3085463,5313322
2734034,3095737
2734034,2917246
2882948,5313322
2876992,4481490
2876992,4313139
2876992,4087523
3085470,5313322
3085470,3095804
5438270,9847532
274024,9899445
274024,1301429
3150993,4087523
3240340,4067692
4235071,5482978
3180779,3730910
4276767,4633856
3514343,6129476
5009414,5168665
2877005,4087523
2960397,4313094
4074255,5811157
4074255,4079792
5438283,9847532
3597739,4070083
2483884,9848394
857767,1301429
857767,1184956
2877011,4087523
2948489,10272191
3085488,5313322
5009423,5168665
2882970,5313322
3246314,4313139
3246314,4087523
3210576,4067692
857771,9848394
5420422,9848394
5420422,9847532
2918712,4582402
2620890,3169486
2620890,3169477
2620890,3169470
2620890,3169457
2620890,2917246
3055715,5168897
4604397,4912227
2745984,5104362
2745984,3172760
3055723,9848394
4235103,6244152
5009444,5168665
3085510,5313322
2507734,3169416
2507734,3169400
2507734,3169395
2507734,3169382
2507734,3169360
2507734,3169344
1405792,8166652
2948514,10182636
3270163,3730910
2745995,5104362
2745995,3172760
3651377,4084927
2757910,9899445
9589965,9790333
9113449,9637767
4378068,5183072
2734088,2917246
2883000,5313322
4497204,9848394
2883005,5313322
2883005,5102359
3651388,4084927
3085525,5313322
3615651,4276472
83,31728
5009464,5168665
2883011,5407855
2430321,8166652
3722872,10275709
3359529,4296916
2883013,5313322
2883013,5105363
131131,1346365
2483932,9848394
476607,2436372
2746019,5104362
2746019,3172760
2746019,3095737
2620934,5170108
2620934,4276495
2620934,3169486
2620934,3169477
2620934,3169470
2620934,3169457
2620934,2917245
2883022,5313322
3651405,4084927
5009478,5168665
5843387,9847532
4282796,5482978
3520370,5183072
3085550,5313322
3085550,4276503
2740076,5181712
4491275,9887797
2972379,5179221
2972379,3730910
2555427,3172756
2555427,3169470
2823469,4087523
2883034,5313322
2549474,9866581
5098840,10001607
2960473,5182744
2960473,3818714
2960473,3095745
3061731,5170108
554049,10038100
554049,9806318
554049,9747414
554049,9644259
554049,9462855
554049,9381664
554049,9076169
554049,8603398
554049,8105185
554049,6658167
554049,6393950
554049,6388740
554049,5494356
554049,5330981
554049,5131070
554049,4714867
554049,4238337
554049,3888375
554049,3736389
554049,3475255
554049,3440730
554049,3440392
554049,3128573
554049,2889296
554049,2654220
554049,2409649
